pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,fare_yellow,fare_turquoise,fare_luxury,selected_taxi_type,distance_of_ride
41.081402,28.9819771,41.0256541,28.9741433,30.07,34.87,51.37,0,8088
41.081402,28.9819771,41.0848224,29.0566979,37.98,44.05,64.89,0,10639
41.0456474,28.82472199999999,41.0848224,29.0566979,90.89,105.5,155.35,1,27708
40.990445,29.029146,41.0821826,29.0668986,82.77,96.06,141.46,0,25087
41.010462,28.963896,40.9938545,28.923267,25.8,29.91,44.07,0,6711
41.02183489999999,28.9764826,41.0391643,29.00045940000001,14.41,16.68,24.59,0,3035
41.02183489999999,28.9764826,41.028987,28.95197,15.29,17.7,26.1,0,3320
41.02183489999999,28.9764826,41.0211216,29.0041105,48.78,56.59,83.35,0,14123
41.0183085,28.9699963,41.0054096,28.9768138,18.91,21.9,32.28,1,4486
41.0921059,28.8120914,41.100671,28.3759279,170.39,197.81,291.26,0,53350
41.04128989999999,28.69405799999999,41.186394,28.738889,105.54,122.5,180.38,0,32431
40.990635,28.89614,41.0921059,28.8120914,65.55,76.06,112.01,2,19531
41.142259,28.457469,41.024474,28.585453,67.48,78.31,115.33,0,20156
40.9801984,28.7206721,40.9910421,28.6498297,38.76,44.95,66.22,2,10890
41.09139950000001,29.0621581,41.01179589999999,28.949326,70.64,81.97,120.72,1,21173
41.09139950000001,29.0621581,41.01179589999999,28.949326,70.64,81.97,120.72,0,21173
41.0553818,28.8550909,41.01179589999999,28.949326,36.38,42.2,62.16,2,10124
41.0553818,28.8550909,41.01179589999999,28.949326,36.38,42.2,62.16,0,10124
41.0553818,28.8550909,41.01179589999999,28.949326,36.38,42.2,62.16,1,10124
41.0149358,28.9659767,37.42207090000001,41.3476998,4834.73,5614.47,8265.78,1,1557977
41.0149358,28.9659767,37.42207090000001,41.3476998,4834.73,5614.47,8265.78,2,1557977
41.0149358,28.9659767,37.42207090000001,41.3476998,4834.73,5614.47,8265.78,0,1557977
40.9801984,28.7206721,40.9910421,28.6498297,38.76,44.95,66.22,1,10890
36.92082279999999,34.8860382,36.91655300000001,34.8949449,13,14.95,22.1,0,1835
36.92082279999999,34.8860382,36.91655300000001,34.8949449,13,14.95,22.1,2,1835
36.92082279999999,34.8860382,36.91655300000001,34.8949449,13,14.95,22.1,1,1835
36.92082279999999,34.8860382,36.8490036,35.0241891,74.42,86.37,127.19,0,22395
36.92082279999999,34.8860382,36.8490036,35.0241891,74.42,86.37,127.19,2,22395
36.92082279999999,34.8860382,36.8490036,35.0241891,74.42,86.37,127.19,1,22395
36.92082279999999,34.8860382,36.8490036,35.0241891,74.42,86.37,127.19,0,22395
41.04128989999999,28.69405799999999,41.12234,28.879205,84.5,98.07,144.42,2,25645
41.04128989999999,28.69405799999999,41.12234,28.879205,84.5,98.07,144.42,1,25645
41.3113,28.6124001,41.3462,28.682,62.07,72.02,106.07,1,18409
41.0809618,28.9455865,41.0149358,28.9659767,38.9,45.12,66.47,1,10937
41.020169,28.933864,41.0620995,28.7100113,75,87.04,128.18,1,22581
41.1121849,29.019965,41.0912166,28.949529,30.01,34.8,51.27,1,8069
41.16229169999999,29.0474203,41.0149358,28.9659767,81.48,94.56,139.25,0,24670
40.99969670000001,28.9312884,40.9996241,28.9177905,13,14.95,22.1,1,2112
41.3462,28.682,41.24919999999999,29.0374999,153.92,178.69,263.1,1,48038
41.2345,29.1091,41.210072,29.106903,19.69,22.81,33.62,1,4739
41.238,28.9857,41.2497,28.9796,13,14.95,22.1,1,1944
41.0809618,28.9455865,41.1992,29.0284,75.55,87.68,129.11,1,22757
40.9807042,28.8118651,41.2599003,28.7427288,133.41,154.87,228.04,1,41422
40.9807042,28.8118651,41.2599003,28.7427288,133.41,154.87,228.04,2,41422
41.04901,28.9797902,41.142259,28.457469,199.84,232.02,341.62,2,62853
41.04901,28.9797902,41.142259,28.457469,199.84,232.02,341.62,1,62853
41.0334462,28.9841005,41.064805,28.9745245,0,0,0,0,0
40.9919149,28.7975316,41.2599003,28.7427288,137.19,159.26,234.51,1,42643
41.0615129,28.8538921,38.5697435,43.2888516,5024.37,5834.7,8590.01,1,1619152
41.0615129,28.8538921,38.5697435,43.2888516,5024.37,5834.7,8590.01,2,1619152
41.0614882,28.8539037,41.06970719999999,28.9950702,58,67.3,99.11,2,17097
41.0614882,28.8539037,41.06970719999999,28.9950702,58,67.3,99.11,1,17097
41.0614882,28.8539037,41.06970719999999,28.9950702,58,67.3,99.11,0,17097
40.9919149,28.7975316,41.103203,28.99124299999999,103.33,119.94,176.61,1,31719
40.9919149,28.7975316,41.103203,28.99124299999999,103.33,119.94,176.61,2,31719
41.02436429999999,28.8043067,41.0019832,28.85981689999999,35.24,40.87,60.2,2,9755
41.02436429999999,28.8043067,41.0019832,28.85981689999999,35.24,40.87,60.2,0,9755
41.02436429999999,28.8043067,41.0019832,28.85981689999999,35.24,40.87,60.2,1,9755
41.186394,28.738889,41.25901460000001,28.7484201,52.07,60.42,88.98,1,15185
41.186394,28.738889,41.25901460000001,28.7484201,52.07,60.42,88.98,2,15185
41.186394,28.738889,41.25901460000001,28.7484201,52.07,60.42,88.98,1,15185
41.0106416,28.85531100000001,40.9160168,29.1752412,124.02,143.96,211.98,1,38393
41.0614622,28.8538802,41.0803395,28.8774481,16.05,18.58,27.38,2,3563
41.0614622,28.8538802,41.0803395,28.8774481,16.05,18.58,27.38,1,3563
41.061457,28.8538799,41.103203,28.99124299999999,58.45,67.82,99.88,2,17242
40.98940069999999,28.7970411,41.1455166,29.04744739999999,125.41,145.58,214.37,2,38843
40.98940069999999,28.7970411,41.1455166,29.04744739999999,125.41,145.58,214.37,0,38843
40.98940069999999,28.7970411,41.1455166,29.04744739999999,125.41,145.58,214.37,1,38843
41.0614574,28.8538783,41.06970719999999,28.9950702,57.99,67.29,99.1,0,17094
41.0396269,28.8954171,41.1612969,28.6206446,120.15,139.47,205.36,2,37144
41.0396269,28.8954171,41.1612969,28.6206446,120.15,139.47,205.36,0,37144
41.0125136,28.947588,41.0115195,28.98337889999999,21.2,24.56,36.19,1,5225
41.0614574,28.8538837,41.06970719999999,28.9950702,57.99,67.29,99.1,1,17094
